"","Parameter","Value"
"1","Chlorophyll",0.79
"2","Chlorophyll",0.92
"3","Chlorophyll",0.62
"4","Phycocyanin",0.1
"5","Chlorophyll",0.34
"6","Phycocyanin",0.1
"7","Phycocyanin",0.1
"8","Phycocyanin",0.1
"9","Phycocyanin",0.1
"10","Chlorophyll",0.62
"11","Chlorophyll",0.34
"12","Chlorophyll",0.65
"13","Phycocyanin",0.1
"14","Chlorophyll",0.56
"15","Phycocyanin",3
"16","Phycocyanin",0.1
"17","Chlorophyll",0.34
"18","Phycocyanin",0.1
"19","Chlorophyll",0.49
"20","Phycocyanin",0.1
"21","Phycocyanin",0.1
"22","Chlorophyll",0.58
"23","Phycocyanin",3.5
"24","Chlorophyll",0.79
"25","Phycocyanin",1
"26","Chlorophyll",0.56
"27","Phycocyanin",0.1
"28","Chlorophyll",1.01
"29","Chlorophyll",0.98
"30","Phycocyanin",6
"31","Phycocyanin",1.5
"32","Phycocyanin",0.1
"33","Chlorophyll",0.49
"34","Chlorophyll",0.74
"35","Chlorophyll",0.43
"36","Chlorophyll",0.43
"37","Phycocyanin",0.1
"38","Phycocyanin",4
"39","Phycocyanin",2.5
"40","Phycocyanin",0.1
"41","Phycocyanin",3
"42","Chlorophyll",0.58
"43","Chlorophyll",0.49
"44","Chlorophyll",0.71
"45","Phycocyanin",1.5
"46","Phycocyanin",0.1
"47","Chlorophyll",0.68
"48","Chlorophyll",1.28
"49","Chlorophyll",0.73
"50","Phycocyanin",0.1
"51","Phycocyanin",0.1
"52","Chlorophyll",0.92
"53","Phycocyanin",7
"54","Phycocyanin",6.5
"55","Chlorophyll",1.28
"56","Phycocyanin",0.1
"57","Chlorophyll",0.5
"58","Chlorophyll",0.59
"59","Phycocyanin",5
"60","Phycocyanin",0.1
"61","Chlorophyll",2.28
"62","Chlorophyll",1.14
"63","Chlorophyll",1.9
"64","Chlorophyll",0.5
"65","Phycocyanin",0.1
"66","Phycocyanin",0.1
"67","Phycocyanin",0.1
"68","Phycocyanin",4.5
"69","Chlorophyll",0.61
"70","Chlorophyll",0.55
"71","Phycocyanin",4
"72","Phycocyanin",0.1
"73","Chlorophyll",1.28
"74","Chlorophyll",1.02
"75","Chlorophyll",0.49
"76","Phycocyanin",0.1
